id_key,granularity,target_column,variable,correlation,abs_correlation
subset_B_raw,raw,TE_8313B.AV_0#,ZZQBCHLL.AV_0#,0.8686452093942587,0.8686452093942587
subset_B_raw,raw,TE_8313B.AV_0#,YFJ3_AI.AV_0#,0.6519540110208691,0.6519540110208691
subset_B_raw,raw,TE_8313B.AV_0#,TE_8319A.AV_0#,0.5843961325613678,0.5843961325613678
subset_B_raw,raw,TE_8313B.AV_0#,TE_8303.AV_0#,0.3960038241581353,0.3960038241581353
subset_B_raw,raw,TE_8313B.AV_0#,PTCA_8322A.AV_0#,0.3933021289908426,0.3933021289908426
subset_B_raw,raw,TE_8313B.AV_0#,AIR_8301A.AV_0#,-0.3836181603286373,0.3836181603286373
subset_B_raw,raw,TE_8313B.AV_0#,TE_8332A.AV_0#,0.3482625435659329,0.3482625435659329
subset_B_raw,raw,TE_8313B.AV_0#,FT_8306A.AV_0#,-0.17699081390337487,0.17699081390337487
subset_B_raw,raw,TE_8313B.AV_0#,FT_8301.AV_0#,0.14489476274588514,0.14489476274588514
subset_B_raw,raw,TE_8313B.AV_0#,ZCLCCY.AV_0#,0.10949472116076987,0.10949472116076987
subset_B_raw,raw,TE_8313B.AV_0#,SXLTCYZ.AV_0#,0.0918766061566712,0.0918766061566712
subset_B_raw,raw,TE_8313B.AV_0#,PT_8313C.AV_0#,0.07239954271005011,0.07239954271005011
subset_B_raw,raw,TE_8313B.AV_0#,YFJ3_ZD2.AV_0#,-0.021495522457923872,0.021495522457923872
subset_B_30s,30s,TE_8313B.AV_0#,ZZQBCHLL.AV_0#,0.8718777539515006,0.8718777539515006
subset_B_30s,30s,TE_8313B.AV_0#,YFJ3_AI.AV_0#,0.7418477682984967,0.7418477682984967
subset_B_30s,30s,TE_8313B.AV_0#,TE_8319A.AV_0#,0.5848451746697336,0.5848451746697336
subset_B_30s,30s,TE_8313B.AV_0#,TE_8303.AV_0#,0.3963346509390027,0.3963346509390027
subset_B_30s,30s,TE_8313B.AV_0#,PTCA_8322A.AV_0#,0.394047364573897,0.394047364573897
subset_B_30s,30s,TE_8313B.AV_0#,AIR_8301A.AV_0#,-0.3850427486536755,0.3850427486536755
subset_B_30s,30s,TE_8313B.AV_0#,TE_8332A.AV_0#,0.3484826351054031,0.3484826351054031
subset_B_30s,30s,TE_8313B.AV_0#,FT_8306A.AV_0#,-0.18244543474620134,0.18244543474620134
subset_B_30s,30s,TE_8313B.AV_0#,FT_8301.AV_0#,0.15321667347101942,0.15321667347101942
subset_B_30s,30s,TE_8313B.AV_0#,ZCLCCY.AV_0#,0.11096861001642222,0.11096861001642222
subset_B_30s,30s,TE_8313B.AV_0#,SXLTCYZ.AV_0#,0.09322624469635216,0.09322624469635216
subset_B_30s,30s,TE_8313B.AV_0#,PT_8313C.AV_0#,0.07355928174308193,0.07355928174308193
subset_B_30s,30s,TE_8313B.AV_0#,YFJ3_ZD2.AV_0#,-0.04133120305222042,0.04133120305222042
subset_B_1min,1min,TE_8313B.AV_0#,ZZQBCHLL.AV_0#,0.8766784228124077,0.8766784228124077
subset_B_1min,1min,TE_8313B.AV_0#,YFJ3_AI.AV_0#,0.7514155110192929,0.7514155110192929
subset_B_1min,1min,TE_8313B.AV_0#,TE_8319A.AV_0#,0.5857980634467633,0.5857980634467633
subset_B_1min,1min,TE_8313B.AV_0#,TE_8303.AV_0#,0.3970635878785198,0.3970635878785198
subset_B_1min,1min,TE_8313B.AV_0#,PTCA_8322A.AV_0#,0.3949267041377826,0.3949267041377826
subset_B_1min,1min,TE_8313B.AV_0#,AIR_8301A.AV_0#,-0.3873087894703714,0.3873087894703714
subset_B_1min,1min,TE_8313B.AV_0#,TE_8332A.AV_0#,0.3488976490980261,0.3488976490980261
subset_B_1min,1min,TE_8313B.AV_0#,FT_8306A.AV_0#,-0.18364384598732145,0.18364384598732145
subset_B_1min,1min,TE_8313B.AV_0#,FT_8301.AV_0#,0.15482450087275676,0.15482450087275676
subset_B_1min,1min,TE_8313B.AV_0#,ZCLCCY.AV_0#,0.11121432165590996,0.11121432165590996
subset_B_1min,1min,TE_8313B.AV_0#,SXLTCYZ.AV_0#,0.09442459159841289,0.09442459159841289
subset_B_1min,1min,TE_8313B.AV_0#,PT_8313C.AV_0#,0.07479054814297063,0.07479054814297063
subset_B_1min,1min,TE_8313B.AV_0#,YFJ3_ZD2.AV_0#,-0.04858174837161518,0.04858174837161518
