id_key,granularity,frequency,rows,acf_30s,acf_1min,acf_5min,acf_10min
subset_B_raw,raw,5s,86400,0.9916661941774003,0.9773934132442712,0.8456591102333009,0.7160959422755356
subset_B_30s,30s,30s,14400,0.9928528644568304,0.9789191558513288,0.8470592565397244,0.7173181952148976
subset_B_1min,1min,1min,7200,0.9820925256559482,0.9820925256559482,0.8501700577102538,0.7200882547826742
